1503417814,Redacted,1
1503104919,Redacted,603
1503341690,Redacted,2363
1503093378,Redacted,1894
1502998226,Redacted,51
1502982424,Redacted,153
1502397224,Redacted,299
1502379605,Redacted,987
1502143478,Redacted,45
1502149614,Redacted,45
1501869505,Redacted,16261
1501791463,Redacted,19
1501791333,Redacted,4
1501261095,Redacted,68
1501258603,Redacted,65
1501013910,Redacted,429
1500926948,Redacted,6
1500315207,Redacted,17
1499714494,Redacted,28
1498771426,Redacted,3
1499274870,Redacted,35
1499289566,Redacted,1034
1499281507,Redacted,12540
1499008876,Redacted,19
1498664035,Redacted,1
1497884695,Redacted,111
1497380224,Redacted,428
1497283860,Redacted,19
1496706989,Redacted,579
1496705824,Redacted,287
